League,Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo.1,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Estrangeiros,Plantel,Valor de mercado total,ø-Idade,ø-valor de mercado,Golos,Remates à baliza,Taxa
ES1,Real Bétis,1.0,2.0,0.0,0.0,2.0,32,1,0,1,37,3.0,3.0,7.0,11.0,6.0,6.0,11.0,1.0,0.0,29.0,28.0,11.0,12.0,26.0,"219,80 M €","28,8","8,45 M €",29.0,355.0,"8,2 %"
ES1,Elche CF,1.0,1.0,0.0,0.0,1.0,26,1,1,2,34,5.0,4.0,9.0,8.0,0.0,5.0,11.0,0.0,1.0,23.0,22.0,10.0,10.0,26.0,"101,10 M €","26,3","3,89 M €",23.0,266.0,"8,6 %"
ES1,CA Osasuna,1.0,1.0,0.0,0.0,1.0,36,2,1,3,49,9.0,1.0,11.0,9.0,4.0,4.0,4.0,3.0,1.0,17.0,17.0,8.0,4.0,23.0,"88,20 M €","28,0","3,83 M €",17.0,253.0,"6,7 %"
ES1,FC Villarreal,0.0,0.0,1.0,1.0,0.0,35,1,1,2,43,3.0,0.0,4.0,13.0,3.0,10.0,11.0,1.0,0.0,31.0,31.0,12.0,14.0,27.0,"269,70 M €","26,4","9,99 M €",31.0,297.0,"10,4 %"
ES1,Celta de Vigo,0.0,3.0,1.0,0.0,3.0,30,0,1,1,33,4.0,4.0,9.0,8.0,2.0,5.0,9.0,2.0,0.0,20.0,20.0,11.0,8.0,28.0,"140,40 M €","26,4","5,01 M €",20.0,243.0,"8,2 %"
ES1,Athletic Club,0.0,0.0,2.0,2.0,0.0,36,3,0,3,51,9.0,1.0,10.0,8.0,1.0,3.0,7.0,3.0,0.0,16.0,15.0,10.0,3.0,28.0,"303,00 M €","26,9","10,82 M €",16.0,331.0,"4,8 %"
ES1,Sevilha FC,0.0,0.0,1.0,1.0,0.0,52,1,1,2,60,9.0,1.0,10.0,9.0,1.0,6.0,7.0,2.0,0.0,24.0,22.0,14.0,15.0,27.0,"131,40 M €","27,8","4,87 M €",24.0,260.0,"9,2 %"
ES1,Getafe CF,0.0,0.0,3.0,3.0,0.0,41,2,1,3,54,9.0,1.0,10.0,8.0,4.0,3.0,4.0,0.0,0.0,13.0,13.0,6.0,10.0,22.0,"68,60 M €","28,4","3,12 M €",13.0,232.0,"5,6 %"
ES1,RCD Maiorca,0.0,4.0,1.0,0.0,0.0,31,1,2,3,42,7.0,3.0,11.0,7.0,4.0,7.0,4.0,2.0,0.0,19.0,19.0,8.0,9.0,25.0,"81,70 M €","28,2","3,27 M €",19.0,249.0,"7,6 %"
ES1,Deportivo Alavés,0.0,0.0,2.0,2.0,0.0,38,0,1,1,41,9.0,2.0,11.0,6.0,1.0,2.0,5.0,4.0,0.0,14.0,13.0,7.0,10.0,23.0,"69,50 M €","28,3","3,02 M €",14.0,261.0,"5,4 %"
